Mobility_surrogate_key,Mobility_key,Date,Metro_area,Subregion,Province,Retail_and_recreation,Grocery_and_pharmacy,Park,Transit_stations,Workplaces,Residential
588,ChIJeabS5K7NKogRZIooarTPjRA20201210,2020-12-10,,York,Ontario,-19.0,7.0,19.0,-59.0,-43.0,20.0
589,ChIJeabS5K7NKogRZIooarTPjRA20201211,2020-12-11,,York,Ontario,-19.0,10.0,27.0,-57.0,-41.0,19.0
590,ChIJeabS5K7NKogRZIooarTPjRA20201212,2020-12-12,,York,Ontario,-19.0,10.0,5.0,-42.0,-7.0,11.0
591,ChIJeabS5K7NKogRZIooarTPjRA20201213,2020-12-13,,York,Ontario,-16.0,9.0,39.0,-47.0,-9.0,9.0
592,ChIJeabS5K7NKogRZIooarTPjRA20201214,2020-12-14,,York,Ontario,-36.0,-5.0,17.0,-64.0,-46.0,20.0
593,ChIJeabS5K7NKogRZIooarTPjRA20201215,2020-12-15,,York,Ontario,-36.0,-2.0,8.0,-63.0,-47.0,21.0
594,ChIJeabS5K7NKogRZIooarTPjRA20201216,2020-12-16,,York,Ontario,-36.0,-5.0,-15.0,-65.0,-47.0,22.0
595,ChIJeabS5K7NKogRZIooarTPjRA20201217,2020-12-17,,York,Ontario,-33.0,6.0,9.0,-63.0,-45.0,21.0
596,ChIJeabS5K7NKogRZIooarTPjRA20201218,2020-12-18,,York,Ontario,-35.0,1.0,9.0,-61.0,-44.0,21.0
597,ChIJeabS5K7NKogRZIooarTPjRA20201219,2020-12-19,,York,Ontario,-42.0,-3.0,41.0,-49.0,-15.0,12.0
598,ChIJeabS5K7NKogRZIooarTPjRA20201220,2020-12-20,,York,Ontario,-42.0,-6.0,32.0,-57.0,-19.0,11.0
599,ChIJeabS5K7NKogRZIooarTPjRA20201221,2020-12-21,,York,Ontario,-24.0,14.0,36.0,-64.0,-53.0,20.0
600,ChIJeabS5K7NKogRZIooarTPjRA20201222,2020-12-22,,York,Ontario,-24.0,26.0,25.0,-64.0,-54.0,21.0
601,ChIJeabS5K7NKogRZIooarTPjRA20201223,2020-12-23,,York,Ontario,-15.0,45.0,36.0,-62.0,-55.0,21.0
602,ChIJeabS5K7NKogRZIooarTPjRA20201224,2020-12-24,,York,Ontario,-30.0,36.0,-1.0,-70.0,-68.0,26.0
603,ChIJeabS5K7NKogRZIooarTPjRA20201225,2020-12-25,,York,Ontario,-83.0,-76.0,49.0,-83.0,-89.0,35.0
604,ChIJeabS5K7NKogRZIooarTPjRA20201226,2020-12-26,,York,Ontario,-64.0,-42.0,84.0,-66.0,-48.0,17.0
605,ChIJeabS5K7NKogRZIooarTPjRA20201227,2020-12-27,,York,Ontario,-51.0,-21.0,85.0,-63.0,-27.0,12.0
606,ChIJeabS5K7NKogRZIooarTPjRA20201228,2020-12-28,,York,Ontario,-41.0,-3.0,35.0,-77.0,-76.0,29.0
607,ChIJeabS5K7NKogRZIooarTPjRA20201229,2020-12-29,,York,Ontario,-37.0,6.0,48.0,-71.0,-65.0,26.0
608,ChIJeabS5K7NKogRZIooarTPjRA20201230,2020-12-30,,York,Ontario,-35.0,15.0,0.0,-72.0,-65.0,27.0
609,ChIJeabS5K7NKogRZIooarTPjRA20201231,2020-12-31,,York,Ontario,-32.0,26.0,35.0,-73.0,-69.0,27.0
610,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200901,2020-09-01,,Toronto,Ontario,-25.0,-6.0,95.0,-50.0,-52.0,14.0
611,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200902,2020-09-02,,Toronto,Ontario,-25.0,-8.0,62.0,-53.0,-52.0,15.0
612,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200903,2020-09-03,,Toronto,Ontario,-23.0,-4.0,92.0,-50.0,-50.0,14.0
613,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200904,2020-09-04,,Toronto,Ontario,-24.0,-5.0,82.0,-48.0,-50.0,13.0
614,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200905,2020-09-05,,Toronto,Ontario,-26.0,-11.0,100.0,-33.0,-12.0,2.0
615,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200906,2020-09-06,,Toronto,Ontario,-19.0,-9.0,138.0,-28.0,-12.0,-1.0
616,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200907,2020-09-07,,Toronto,Ontario,-53.0,-48.0,67.0,-71.0,-81.0,21.0
617,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200908,2020-09-08,,Toronto,Ontario,-25.0,1.0,33.0,-53.0,-52.0,14.0
618,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200909,2020-09-09,,Toronto,Ontario,-27.0,-7.0,43.0,-53.0,-51.0,15.0
619,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200910,2020-09-10,,Toronto,Ontario,-25.0,-3.0,60.0,-51.0,-49.0,15.0
620,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200911,2020-09-11,,Toronto,Ontario,-26.0,-7.0,68.0,-48.0,-48.0,14.0
621,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200912,2020-09-12,,Toronto,Ontario,-22.0,-6.0,125.0,-30.0,-6.0,3.0
622,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200913,2020-09-13,,Toronto,Ontario,-23.0,-10.0,85.0,-34.0,-10.0,3.0
623,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200914,2020-09-14,,Toronto,Ontario,-26.0,-7.0,57.0,-53.0,-48.0,15.0
624,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200915,2020-09-15,,Toronto,Ontario,-25.0,-6.0,63.0,-52.0,-48.0,15.0
625,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200916,2020-09-16,,Toronto,Ontario,-26.0,-10.0,74.0,-51.0,-49.0,15.0
626,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200917,2020-09-17,,Toronto,Ontario,-27.0,-5.0,60.0,-51.0,-48.0,15.0
627,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200918,2020-09-18,,Toronto,Ontario,-28.0,-9.0,46.0,-49.0,-47.0,14.0
628,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200919,2020-09-19,,Toronto,Ontario,-24.0,-7.0,92.0,-33.0,-7.0,4.0
629,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200920,2020-09-20,,Toronto,Ontario,-23.0,-9.0,99.0,-34.0,-9.0,3.0
630,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200921,2020-09-21,,Toronto,Ontario,-29.0,-9.0,55.0,-53.0,-49.0,15.0
631,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200922,2020-09-22,,Toronto,Ontario,-29.0,-7.0,59.0,-52.0,-49.0,15.0
632,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200923,2020-09-23,,Toronto,Ontario,-29.0,-9.0,68.0,-52.0,-48.0,15.0
633,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200924,2020-09-24,,Toronto,Ontario,-30.0,-6.0,37.0,-52.0,-47.0,16.0
634,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200925,2020-09-25,,Toronto,Ontario,-30.0,-7.0,61.0,-49.0,-46.0,14.0
635,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200926,2020-09-26,,Toronto,Ontario,-25.0,-6.0,115.0,-32.0,-4.0,3.0
636,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200927,2020-09-27,,Toronto,Ontario,-25.0,-8.0,108.0,-34.0,-7.0,2.0
637,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200928,2020-09-28,,Toronto,Ontario,-32.0,-8.0,50.0,-54.0,-48.0,15.0
638,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200929,2020-09-29,,Toronto,Ontario,-31.0,-6.0,33.0,-53.0,-48.0,15.0
639,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420200930,2020-09-30,,Toronto,Ontario,-32.0,-9.0,0.0,-54.0,-48.0,17.0
640,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201001,2020-10-01,,Toronto,Ontario,-29.0,-1.0,32.0,-53.0,-45.0,16.0
641,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201002,2020-10-02,,Toronto,Ontario,-33.0,-8.0,14.0,-51.0,-45.0,16.0
642,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201003,2020-10-03,,Toronto,Ontario,-28.0,-7.0,66.0,-36.0,-7.0,6.0
643,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201004,2020-10-04,,Toronto,Ontario,-33.0,-12.0,-12.0,-43.0,-14.0,6.0
644,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201005,2020-10-05,,Toronto,Ontario,-32.0,-5.0,36.0,-54.0,-47.0,16.0
645,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201006,2020-10-06,,Toronto,Ontario,-33.0,-6.0,39.0,-53.0,-47.0,15.0
646,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201007,2020-10-07,,Toronto,Ontario,-34.0,-9.0,12.0,-55.0,-47.0,17.0
647,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201008,2020-10-08,,Toronto,Ontario,-33.0,-3.0,14.0,-53.0,-46.0,17.0
648,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201009,2020-10-09,,Toronto,Ontario,-31.0,1.0,40.0,-50.0,-45.0,15.0
649,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201010,2020-10-10,,Toronto,Ontario,-35.0,-4.0,68.0,-39.0,-9.0,5.0
650,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201011,2020-10-11,,Toronto,Ontario,-34.0,-5.0,48.0,-40.0,-12.0,3.0
651,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201012,2020-10-12,,Toronto,Ontario,-66.0,-54.0,52.0,-75.0,-82.0,24.0
652,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201013,2020-10-13,,Toronto,Ontario,-36.0,-2.0,51.0,-53.0,-49.0,16.0
653,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201014,2020-10-14,,Toronto,Ontario,-36.0,-8.0,36.0,-54.0,-47.0,17.0
654,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201015,2020-10-15,,Toronto,Ontario,-41.0,-13.0,-30.0,-56.0,-48.0,20.0
655,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201016,2020-10-16,,Toronto,Ontario,-36.0,-5.0,32.0,-51.0,-45.0,17.0
656,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201017,2020-10-17,,Toronto,Ontario,-31.0,-5.0,91.0,-37.0,-8.0,6.0
657,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201018,2020-10-18,,Toronto,Ontario,-35.0,-12.0,39.0,-42.0,-15.0,7.0
658,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201019,2020-10-19,,Toronto,Ontario,-40.0,-13.0,-18.0,-57.0,-49.0,18.0
659,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201020,2020-10-20,,Toronto,Ontario,-36.0,-7.0,25.0,-54.0,-48.0,17.0
660,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201021,2020-10-21,,Toronto,Ontario,-38.0,-12.0,12.0,-55.0,-48.0,19.0
661,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201022,2020-10-22,,Toronto,Ontario,-38.0,-7.0,5.0,-54.0,-46.0,19.0
662,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201023,2020-10-23,,Toronto,Ontario,-35.0,-8.0,69.0,-50.0,-45.0,16.0
663,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201024,2020-10-24,,Toronto,Ontario,-33.0,-5.0,49.0,-38.0,-9.0,7.0
664,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201025,2020-10-25,,Toronto,Ontario,-34.0,-11.0,30.0,-41.0,-15.0,6.0
665,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201026,2020-10-26,,Toronto,Ontario,-39.0,-11.0,0.0,-56.0,-48.0,17.0
666,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201027,2020-10-27,,Toronto,Ontario,-41.0,-14.0,-18.0,-56.0,-48.0,18.0
667,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201028,2020-10-28,,Toronto,Ontario,-34.0,-6.0,25.0,-54.0,-46.0,17.0
668,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201029,2020-10-29,,Toronto,Ontario,-37.0,-7.0,-8.0,-55.0,-46.0,18.0
669,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201030,2020-10-30,,Toronto,Ontario,-37.0,-6.0,-10.0,-53.0,-45.0,17.0
670,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201031,2020-10-31,,Toronto,Ontario,-31.0,-2.0,47.0,-36.0,-8.0,6.0
671,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201101,2020-11-01,,Toronto,Ontario,-38.0,-12.0,-23.0,-45.0,-17.0,7.0
672,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201102,2020-11-02,,Toronto,Ontario,-39.0,-13.0,-23.0,-57.0,-48.0,18.0
673,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201103,2020-11-03,,Toronto,Ontario,-39.0,-10.0,-8.0,-55.0,-47.0,17.0
674,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201104,2020-11-04,,Toronto,Ontario,-36.0,-11.0,34.0,-54.0,-47.0,18.0
675,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201105,2020-11-05,,Toronto,Ontario,-36.0,-8.0,25.0,-54.0,-45.0,18.0
676,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201106,2020-11-06,,Toronto,Ontario,-35.0,-8.0,46.0,-51.0,-44.0,17.0
677,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201107,2020-11-07,,Toronto,Ontario,-29.0,-6.0,112.0,-33.0,-7.0,6.0
678,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201108,2020-11-08,,Toronto,Ontario,-28.0,-8.0,115.0,-36.0,-11.0,4.0
679,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201109,2020-11-09,,Toronto,Ontario,-36.0,-10.0,45.0,-55.0,-47.0,17.0
680,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201110,2020-11-10,,Toronto,Ontario,-34.0,-7.0,63.0,-53.0,-46.0,16.0
681,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201111,2020-11-11,,Toronto,Ontario,-35.0,-9.0,25.0,-56.0,-48.0,18.0
682,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201112,2020-11-12,,Toronto,Ontario,-37.0,-6.0,11.0,-55.0,-45.0,18.0
683,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201113,2020-11-13,,Toronto,Ontario,-38.0,-8.0,-4.0,-53.0,-45.0,18.0
684,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201114,2020-11-14,,Toronto,Ontario,-33.0,-5.0,43.0,-41.0,-10.0,8.0
685,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201115,2020-11-15,,Toronto,Ontario,-44.0,-22.0,-40.0,-51.0,-19.0,9.0
686,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201116,2020-11-16,,Toronto,Ontario,-40.0,-14.0,-23.0,-59.0,-48.0,18.0
687,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201117,2020-11-17,,Toronto,Ontario,-41.0,-13.0,-22.0,-58.0,-48.0,18.0
688,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201118,2020-11-18,,Toronto,Ontario,-41.0,-15.0,-23.0,-59.0,-48.0,19.0
689,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201119,2020-11-19,,Toronto,Ontario,-37.0,-8.0,3.0,-57.0,-46.0,19.0
690,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201120,2020-11-20,,Toronto,Ontario,-34.0,-5.0,33.0,-54.0,-47.0,18.0
691,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201121,2020-11-21,,Toronto,Ontario,-30.0,-2.0,11.0,-41.0,-8.0,8.0
692,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201122,2020-11-22,,Toronto,Ontario,-42.0,-23.0,-34.0,-49.0,-17.0,9.0
693,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201123,2020-11-23,,Toronto,Ontario,-51.0,-21.0,-28.0,-62.0,-50.0,20.0
694,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201124,2020-11-24,,Toronto,Ontario,-49.0,-18.0,-25.0,-62.0,-50.0,20.0
695,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201125,2020-11-25,,Toronto,Ontario,-49.0,-21.0,-30.0,-62.0,-49.0,21.0
696,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201126,2020-11-26,,Toronto,Ontario,-44.0,-10.0,-9.0,-60.0,-48.0,20.0
697,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201127,2020-11-27,,Toronto,Ontario,-45.0,-14.0,-8.0,-59.0,-47.0,20.0
698,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201128,2020-11-28,,Toronto,Ontario,-43.0,-11.0,34.0,-49.0,-14.0,10.0
699,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201129,2020-11-29,,Toronto,Ontario,-43.0,-15.0,42.0,-50.0,-19.0,8.0
700,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201130,2020-11-30,,Toronto,Ontario,-48.0,-24.0,-49.0,-63.0,-50.0,20.0
701,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201201,2020-12-01,,Toronto,Ontario,-51.0,-20.0,-28.0,-61.0,-51.0,21.0
702,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201202,2020-12-02,,Toronto,Ontario,-46.0,-13.0,-16.0,-60.0,-49.0,20.0
703,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201203,2020-12-03,,Toronto,Ontario,-45.0,-10.0,-13.0,-59.0,-48.0,20.0
704,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201204,2020-12-04,,Toronto,Ontario,-49.0,-18.0,-30.0,-60.0,-48.0,21.0
705,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201205,2020-12-05,,Toronto,Ontario,-45.0,-10.0,4.0,-49.0,-15.0,10.0
706,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201206,2020-12-06,,Toronto,Ontario,-47.0,-16.0,9.0,-52.0,-21.0,8.0
707,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201207,2020-12-07,,Toronto,Ontario,-48.0,-17.0,-23.0,-62.0,-49.0,19.0
708,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201208,2020-12-08,,Toronto,Ontario,-47.0,-15.0,-14.0,-61.0,-49.0,19.0
709,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201209,2020-12-09,,Toronto,Ontario,-50.0,-21.0,-29.0,-62.0,-50.0,21.0
710,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201210,2020-12-10,,Toronto,Ontario,-46.0,-10.0,-13.0,-60.0,-48.0,20.0
711,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201211,2020-12-11,,Toronto,Ontario,-45.0,-11.0,4.0,-58.0,-47.0,20.0
712,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201212,2020-12-12,,Toronto,Ontario,-50.0,-18.0,-33.0,-55.0,-18.0,12.0
713,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201213,2020-12-13,,Toronto,Ontario,-46.0,-14.0,2.0,-52.0,-20.0,8.0
714,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201214,2020-12-14,,Toronto,Ontario,-47.0,-14.0,-23.0,-62.0,-50.0,19.0
715,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201215,2020-12-15,,Toronto,Ontario,-46.0,-12.0,-22.0,-61.0,-50.0,19.0
716,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201216,2020-12-16,,Toronto,Ontario,-49.0,-20.0,-42.0,-64.0,-50.0,21.0
717,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201217,2020-12-17,,Toronto,Ontario,-45.0,-8.0,-21.0,-60.0,-49.0,21.0
718,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201218,2020-12-18,,Toronto,Ontario,-45.0,-10.0,-12.0,-59.0,-48.0,20.0
719,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201219,2020-12-19,,Toronto,Ontario,-46.0,-10.0,-6.0,-51.0,-16.0,11.0
720,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201220,2020-12-20,,Toronto,Ontario,-45.0,-14.0,-5.0,-52.0,-20.0,9.0
721,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201221,2020-12-21,,Toronto,Ontario,-39.0,-1.0,-4.0,-62.0,-54.0,19.0
722,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201222,2020-12-22,,Toronto,Ontario,-37.0,7.0,-6.0,-61.0,-55.0,18.0
723,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201223,2020-12-23,,Toronto,Ontario,-32.0,19.0,1.0,-60.0,-55.0,18.0
724,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201224,2020-12-24,,Toronto,Ontario,-40.0,16.0,-30.0,-67.0,-67.0,23.0
725,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201225,2020-12-25,,Toronto,Ontario,-84.0,-74.0,-2.0,-84.0,-86.0,32.0
726,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201226,2020-12-26,,Toronto,Ontario,-68.0,-44.0,-1.0,-67.0,-43.0,15.0
727,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201227,2020-12-27,,Toronto,Ontario,-56.0,-29.0,12.0,-60.0,-27.0,10.0
728,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201228,2020-12-28,,Toronto,Ontario,-52.0,-16.0,-15.0,-75.0,-74.0,27.0
729,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201229,2020-12-29,,Toronto,Ontario,-47.0,-8.0,5.0,-68.0,-64.0,23.0
730,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201230,2020-12-30,,Toronto,Ontario,-47.0,-6.0,-33.0,-69.0,-64.0,25.0
731,ChIJ5b2RG4_L1IkRDtQ2gFEjLv420201231,2020-12-31,,Toronto,Ontario,-41.0,11.0,5.0,-68.0,-67.0,25.0
